gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16,6144,4608,ck,8,1,12.8918,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,70.27,2217.06,0.0
gfx950,256,16,9216,6144,ck,8,3,17.3207,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,104.61,3291.8,0.0001
gfx950,256,32,512,6144,ck,13,3,7.7708,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,25.91,434.33,0.0001
gfx950,256,32,576,6144,ck,8,3,7.0141,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,32.29,537.83,0.0001
gfx950,256,32,1024,6144,ck,8,3,7.7292,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,52.1,847.9,0.0002
gfx950,256,32,2048,6144,ck,8,3,10.3757,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,77.61,1244.31,0.0001
gfx950,256,32,4608,6144,ck,8,3,14.4838,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,125.1,1988.64,0.0002
gfx950,256,32,6144,2304,ck,8,0,8.2732,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,109.51,1767.48,0.0
gfx950,256,32,6144,4096,ck,8,3,11.6515,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,138.23,2204.88,0.0
gfx950,256,32,6144,4608,ck,8,0,14.5992,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,124.11,1976.29,0.0
gfx950,256,32,9216,6144,ck,8,3,21.4904,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,168.63,2671.4,0.0001
gfx950,256,48,512,6144,ck,8,3,8.7305,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,34.59,399.72,0.0002
gfx950,256,48,576,6144,ck,8,3,7.0209,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,48.39,553.94,0.0002
gfx950,256,48,1024,6144,ck,8,3,8.9064,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,67.81,750.55,0.0002
gfx950,256,48,2048,6144,ck,8,3,11.4253,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,105.73,1144.34,0.0002
gfx950,256,48,4096,2048,ck,8,0,8.3653,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,96.27,1061.54,0.0
gfx950,256,48,4608,6144,ck,8,3,16.6658,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,163.08,1743.02,0.0002
gfx950,256,48,6144,4096,ck,8,3,13.3384,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,181.13,1945.68,0.0
