M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
2463,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2471,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2473,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2483,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2498,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2501,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2514,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2517,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2518,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2554,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2578,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2581,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2604,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2611,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2624,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2626,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2630,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2649,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2671,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2688,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2739,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2744,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2756,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2766,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2850,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2852,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2868,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2947,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
2968,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3004,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3006,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3036,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3037,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3059,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3065,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3069,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
